Problem ID,Passed Role-based Review,Final Answer Matches Original,Original Answer Correctness
atomic/1-24,✅,✅,✅
atomic/1-36,✅,✅,✅
atomic/1-19,✅,✅,✅
atomic/4-19,✅,✅,✅
atomic/4-28,✅,✅,❌
atomic/2-49,✅,✅,✅
optics/2-35,✅,❌,❌
optics/2-29,✅,✅,✅
optics/1-39,✅,❌,❌
optics/2-62,✅,❌,✅
optics/2-79,✅,✅,✅
electro/1_61,✅,✅,✅
electro/4_17,✅,✅,✅
electro/1_75,✅,❌,❌
electro/1_26,✅,✅,✅
electro/1_18,✅,❌,❌
electro/5_2,✅,✅,✅
electro/1_37,✅,✅,✅
electro/5_3,✅,❌,❌
electro/2_29,✅,✅,✅
electro/3_29,✅,✅,✅
electro/4_25,✅,✅,✅
electro/5_12,✅,✅,✅
electro/5_24,✅,✅,✅
electro/1_40,✅,❌,✅
electro/1_47,✅,✅,✅
electro/1_78,✅,❌,❌
electro/5_25,✅,✅,✅
electro/1_24,✅,✅,✅
Electricity and Magenetism/4-5,✅,✅,✅
Electricity and Magenetism/9-1,✅,✅,✅
Electricity and Magenetism/8-3,✅,✅,✅
mechanics/1_9,✅,✅,✅
mechanics/1_33,✅,✅,✅
mechanics/3_2,✅,❌,✅
mechanics/1_8,✅,❌,✅
mechanics/1_68,✅,❌,✅
mechanics/1_66,✅,❌,❌
mechanics/3_48,✅,❌,❌
mechanics/3_40,✅,✅,✅
mechanics/3_49,✅,✅,✅
mechanics/3_38,✅,✅,✅
mechanics/1_44,✅,❌,❌
mechanics/1_19,✅,✅,✅
mechanics/1_80,✅,✅,✅
mechanics/1_89,✅,✅,✅
mechanics/1_55,✅,✅,✅
mechanics/1_98,❌,❌,✅
mechanics/2_5,✅,✅,✅
mechanics/1_22,✅,❌,✅
mechanics/1_71,✅,✅,✅
Classical Mechanics/2-9,✅,✅,✅
statistics/1-41,✅,✅,✅
statistics/1-79,✅,✅,✅
statistics/2-1,✅,✅,✅
statistics/1-159,✅,❌,✅
statistics/1-54,✅,✅,✅
statistics/2-161,✅,✅,✅
statistics/2-10,✅,✅,✅
statistics/1-90,✅,✅,✅
statistics/2-72,✅,❌,❌
statistics/1-11,✅,❌,✅
statistics/1-80,✅,❌,❌
statistics/1-21,✅,✅,✅
statistics/1-125,✅,❌,❌
statistics/1-5,✅,✅,✅
statistics/1-3,✅,❌,❌
statistics/1-154,✅,❌,✅
statistics/1-153,✅,❌,✅
Statistical Mechanics/19-4,✅,❌,❌
quantum/5068,✅,❌,✅
quantum/3-3025,✅,❌,❌
quantum/5003,✅,❌,❌
quantum/5060,✅,❌,❌
quantum/6040,✅,✅,✅
quantum/6014,✅,❌,❌
quantum/1-1022,✅,✅,✅
quantum/6013,✅,❌,✅
quantum/7022,✅,✅,✅
quantum/8013,✅,✅,✅
quantum/7007,✅,❌,✅
quantum/5011,✅,✅,✅
quantum/1-1007,✅,✅,✅
quantum/5074,✅,✅,✅
quantum/6001,✅,❌,✅
quantum/5072,✅,❌,✅
quantum/6020,✅,✅,✅
quantum/5054,✅,❌,❌
quantum/1-1042,✅,❌,❌
quantum/6010,✅,❌,❌
quantum/1-1021,✅,✅,✅
quantum/6043,✅,✅,✅
quantum/4001,✅,✅,✅
quantum/7011,✅,✅,✅
quantum/8021,✅,❌,✅
quantum/8017,✅,✅,✅
quantum/6003,✅,✅,✅
quantum/6051,✅,✅,✅
quantum/6034,✅,❌,✅
quantum/2-2004,✅,✅,✅
